[02-Oct-2017 23:28:06 Asia/Tokyo] PHP Fatal error:  Using $this when not in object context in /home/ubuntu/workspace/tabitomo/app/Mylog.php on line 28
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  18. Illuminate\Session\Middleware\StartSession->handle() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  19. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:62
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  20. call_user_func_array:{/home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  21. Illuminate\View\Middleware\ShareErrorsFromSession->handle() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  22. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  23. call_user_func_array:{/home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  24. Illuminate\Foundation\Http\Middleware\VerifyCsrfToken->handle() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  25. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:50
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  26. call_user_func:{/home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  27. Illuminate\Foundation\Http\Kernel->Illuminate\Foundation\Http\{closure}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  28. Illuminate\Routing\Router->dispatch() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:236
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  29. Illuminate\Routing\Router->dispatchToRoute() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Routing/Router.php:635
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  30. Illuminate\Routing\Router->runRouteWithinStack() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Routing/Router.php:675
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  31. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Routing/Router.php:710
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  32. call_user_func:{/home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  33. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  34. call_user_func:{/home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  35. Illuminate\Routing\Router->Illuminate\Routing\{closure}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  36. Illuminate\Routing\Route->run() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Routing/Router.php:708
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  37. Illuminate\Routing\Route->runWithCustomDispatcher() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Routing/Route.php:134
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  38. Illuminate\Routing\ControllerDispatcher->dispatch() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Routing/Route.php:203
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  39. Illuminate\Routing\ControllerDispatcher->callWithinStack() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:69
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  40. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:114
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  41. call_user_func:{/home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  42. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  43. call_user_func:{/home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  44. Illuminate\Routing\ControllerDispatcher->Illuminate\Routing\{closure}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  45. Illuminate\Routing\ControllerDispatcher->call() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:112
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  46. Illuminate\Routing\Controller->callAction() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:164
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  47. call_user_func_array:{/home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:256}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:256
[16-Oct-2017 23:26:02 Asia/Tokyo] PHP  48. App\Http\Controllers\Auth\SocialController->getFacebookCallback() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:256
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP Fatal error:  Call to undefined method Laravel\Socialite\Two\FacebookProvider::scops() in /home/ubuntu/workspace/tabitomo/app/Http/Controllers/Auth/SocialController.php on line 98
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP Stack trace:
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP   1. {main}() /home/ubuntu/workspace/tabitomo/server.php:0
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP   2. require_once() /home/ubuntu/workspace/tabitomo/server.php:21
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP   3. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/tabitomo/public/index.php:54
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP   4. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:87
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP   5. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:122
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP   6. call_user_func:{/home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP   7. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP   8. call_user_func_array:{/home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP   9. Illuminate\Foundation\Http\Middleware\CheckForMaintenanceMode->handle() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  10. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:44
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  11. call_user_func_array:{/home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  12. Illuminate\Cookie\Middleware\EncryptCookies->handle() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  13. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:59
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  14. call_user_func_array:{/home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  15. Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse->handle() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  16. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  17. call_user_func_array:{/home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  18. Illuminate\Session\Middleware\StartSession->handle() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  19. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:62
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  20. call_user_func_array:{/home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  21. Illuminate\View\Middleware\ShareErrorsFromSession->handle() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  22. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  23. call_user_func_array:{/home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  24. Illuminate\Foundation\Http\Middleware\VerifyCsrfToken->handle() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  25. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:50
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  26. call_user_func:{/home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  27. Illuminate\Foundation\Http\Kernel->Illuminate\Foundation\Http\{closure}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  28. Illuminate\Routing\Router->dispatch() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:236
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  29. Illuminate\Routing\Router->dispatchToRoute() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Routing/Router.php:635
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  30. Illuminate\Routing\Router->runRouteWithinStack() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Routing/Router.php:675
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  31. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Routing/Router.php:710
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  32. call_user_func:{/home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  33. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  34. call_user_func:{/home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  35. Illuminate\Routing\Router->Illuminate\Routing\{closure}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  36. Illuminate\Routing\Route->run() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Routing/Router.php:708
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  37. Illuminate\Routing\Route->runWithCustomDispatcher() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Routing/Route.php:134
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  38. Illuminate\Routing\ControllerDispatcher->dispatch() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Routing/Route.php:203
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  39. Illuminate\Routing\ControllerDispatcher->callWithinStack() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:69
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  40. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:114
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  41. call_user_func:{/home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  42. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  43. call_user_func:{/home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  44. Illuminate\Routing\ControllerDispatcher->Illuminate\Routing\{closure}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  45. Illuminate\Routing\ControllerDispatcher->call() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:112
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  46. Illuminate\Routing\Controller->callAction() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:164
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  47. call_user_func_array:{/home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:256}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:256
[17-Oct-2017 00:02:21 Asia/Tokyo] PHP  48. App\Http\Controllers\Auth\SocialController->getFacebookCallback() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:256
[17-Oct-2017 00:04:32 Asia/Tokyo] PHP Fatal error:  Call to undefined method Laravel\Socialite\Two\FacebookProvider::scops() in /home/ubuntu/workspace/tabitomo/app/Http/Controllers/Auth/SocialController.php on line 98
[17-Oct-2017 00:04:32 Asia/Tokyo] PHP Stack trace:
[17-Oct-2017 00:04:32 Asia/Tokyo] PHP   1. {main}() /home/ubuntu/workspace/tabitomo/server.php:0
[17-Oct-2017 00:04:32 Asia/Tokyo] PHP   2. require_once() /home/ubuntu/workspace/tabitomo/server.php:21
[17-Oct-2017 00:04:32 Asia/Tokyo] PHP   3. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/tabitomo/public/index.php:54
[17-Oct-2017 00:04:32 Asia/Tokyo] PHP   4. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:87
[17-Oct-2017 00:04:32 Asia/Tokyo] PHP   5. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:122
[17-Oct-2017 00:04:32 Asia/Tokyo] PHP   6. call_user_func:{/home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[17-Oct-2017 00:04:32 Asia/Tokyo] PHP   7. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[17-Oct-2017 00:04:32 Asia/Tokyo] PHP   8. call_user_func_array:{/home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[17-Oct-2017 00:04:32 Asia/Tokyo] PHP   9. Illuminate\Foundation\Http\Middleware\CheckForMaintenanceMode->handle() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[17-Oct-2017 00:04:32 Asia/Tokyo] PHP  10. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:44
[17-Oct-2017 00:04:32 Asia/Tokyo] PHP  11. call_user_func_array:{/home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[17-Oct-2017 00:04:32 Asia/Tokyo] PHP  12. Illuminate\Cookie\Middleware\EncryptCookies->handle() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[17-Oct-2017 00:04:32 Asia/Tokyo] PHP  13. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:59
[17-Oct-2017 00:04:32 Asia/Tokyo] PHP  14. call_user_func_array:{/home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[17-Oct-2017 00:04:32 Asia/Tokyo] PHP  15. Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse->handle() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[17-Oct-2017 00:04:32 Asia/Tokyo] PHP  16. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37
[17-Oct-2017 00:04:32 Asia/Tokyo] PHP  17. call_user_func_array:{/home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/tabitomo/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
